Brand,Description,Image_URL,Product_ID,Discount_Price (in Rs.),Original_Price (in Rs.),Product_URL,Category_by_gender,Category
lee-cooper,Graphic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220225/p3mS/6218f159aeb26921afb859bf/-286Wx359H-441245234-greymelange-MODEL.jpg,441245234001,550,"1,099",https://trends.ajio.com/lee-cooper-graphic-print-crew-neck-t-shirt/p/441245234_greymelange,Men,Topwear
dnmx,Flat-Knit High-Neck Pullover,https://assets.ajio.com/medias/sys_master/root/20211006/SOIj/615ca9bcaeb2692b85af0f27/-286Wx359H-441126050-khaki-MODEL.jpg,441126050005,480,"1,599",https://trends.ajio.com/dnmx-flat-knit-high-neck-pullover/p/441126050_khaki,Men,Topwear
sin,Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220111/24nx/61dcab58f997dd662319eb32/-286Wx359H-441207266-red-MODEL.jpg,441207266005,927,"1,599",https://trends.ajio.com/sin-checked-slim-fit-shirt-with-patch-pocket/p/441207266_red,Men,Topwear
netplay,Striped Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220407/Txw0/624ddf09aeb26921af0f6f66/-286Wx359H-441137182-white-MODEL.jpg,441137182011,"1,104","1,299",https://trends.ajio.com/netplay-striped-slim-fit-shirt-with-patch-pocket/p/441137182_white,Men,Topwear
john-players-jeans,Striped Extra Slim Fit Shirt with Flap Pockets,https://assets.ajio.com/medias/sys_master/root/20210119/FBb1/6005e28e7cdb8c1f142b79ce/-286Wx359H-420065479-olive-MODEL.jpg,420065479003,390,"1,299",https://trends.ajio.com/john-players-jeans-striped-extra-slim-fit-shirt-with-flap-pockets/p/420065479_olive,Men,Topwear
dnmx,Typographic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211103/BuyA/61818e8af997ddf8f1f7eec3/-286Wx359H-441126008-green-MODEL.jpg,441126008002,319,399,https://trends.ajio.com/dnmx-typographic-print-crew-neck-t-shirt/p/441126008_green,Men,Topwear
altheory-sport,Striped Polo T-shirt with Short Zipper,https://assets.ajio.com/medias/sys_master/root/20210722/DU7H/60f87e39aeb269a9e34c4b02/-286Wx359H-441121883-mustard-MODEL.jpg,441121883006,390,"1,299",https://trends.ajio.com/altheory-sport-striped-polo-t-shirt-with-short-zipper/p/441121883_mustard,Men,Topwear
produkt-by-jack-jones,Floral Print Slim Shirt with Notched Lapel Collar,https://assets.ajio.com/medias/sys_master/root/20220330/Cybf/624489dcf997dd03e23d60be/-286Wx359H-441310887-white-MODEL.jpg,441310887005,"1,004","1,499",https://trends.ajio.com/produkt-by-jack--jones-floral-print-slim-shirt-with-notched-lapel-collar/p/441310887_white,Men,Topwear
dnmx,Abstract Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211202/mqk9/61a7e16ef997ddf8f12d4132/-286Wx359H-441129631-ecru-MODEL.jpg,441129631005,489,699,https://trends.ajio.com/dnmx-abstract-print-crew-neck-t-shirt/p/441129631_ecru,Men,Topwear
dnmx,Textured Zip-Front Bomber Jacket,https://assets.ajio.com/medias/sys_master/root/20211019/xFiz/616de0eaaeb26901109af62f/-286Wx359H-441125185-maroon-MODEL.jpg,441125185005,"1,050","3,499",https://trends.ajio.com/dnmx-textured-zip-front-bomber-jacket/p/441125185_maroon,Men,Topwear
netplay,Slim Fit Shirt with Band Collar,https://assets.ajio.com/medias/sys_master/root/20211201/F09K/61a68f0ff997ddf8f12a3f50/-286Wx359H-441133497-orange-MODEL.jpg,441133497026,699,999,https://trends.ajio.com/netplay-slim-fit-shirt-with-band-collar/p/441133497_orange,Men,Topwear
netplay,Striped Slim Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20210623/WpuE/60d23484f997ddb312e94711/-286Wx359H-441119283-blue-MODEL.jpg,441119283011,749,999,https://trends.ajio.com/netplay-striped-slim-fit-shirt/p/441119283_blue,Men,Topwear
john-players,Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220127/iZ0a/61f2b749f997dd66233fc2c1/-286Wx359H-441131384-purple-MODEL.jpg,441131384018,500,999,https://trends.ajio.com/john-players-slim-fit-shirt-with-patch-pocket/p/441131384_purple,Men,Topwear
teamspirit,Typography Print Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20211123/lcHG/619be703aeb2690110d08bd7/-286Wx359H-441132314-navy-MODEL.jpg,441132314005,519,799,https://trends.ajio.com/teamspirit-typography-print-polo-t-shirt/p/441132314_navy,Men,Topwear
teamspirit,Fw21 Ottoman Striped Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20210824/hCh9/6123f3eaf997ddce89a862f2/-286Wx359H-441126466-olive-MODEL.jpg,441126466020,587,699,https://trends.ajio.com/teamspirit-fw21-ottoman-striped-crew-neck-t-shirt/p/441126466_olive,Men,Topwear
sin,Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220111/MCFH/61dc93bcf997dd6623187484/-286Wx359H-441207316-mustard-MODEL.jpg,441207316009,844,"1,299",https://trends.ajio.com/sin-slim-fit-shirt-with-patch-pocket/p/441207316_mustard,Men,Topwear
john-players,Slim Fit Polo T-shirt with Short Zipper,https://assets.ajio.com/medias/sys_master/root/20211230/b5LK/61ccab1df997ddf8f16852a4/-286Wx359H-441135987-white-MODEL.jpg,441135987001,650,"1,299",https://trends.ajio.com/john-players-slim-fit-polo-t-shirt-with-short-zipper/p/441135987_white,Men,Topwear
netplay,Floral Print Shirt with Spread Collar,https://assets.ajio.com/medias/sys_master/root/20211208/UXdW/61afe9c0f997ddf8f145a415/-286Wx359H-441128731-blue-MODEL.jpg,441128731005,909,"1,299",https://trends.ajio.com/netplay-floral-print-shirt-with-spread-collar/p/441128731_blue,Men,Topwear
netplay,Slim Fit Printed Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20210312/ph3f/604ae8b3aeb269698181adcc/-286Wx359H-441114669-ltaqua-MODEL.jpg,441114669017,294,599,https://trends.ajio.com/netplay-slim-fit-printed-polo-t-shirt/p/441114669_ltaqua,Men,Topwear
duke,Pack of 3 Slim Fit Crew-Neck T-shirts,https://assets.ajio.com/medias/sys_master/root/20220507/NsbC/627572bbf997dd03e299acce/-286Wx359H-441176661-ecru-MODEL.jpg,441176661002,892,"1,049",https://trends.ajio.com/duke-pack-of-3-slim-fit-crew-neck-t-shirts/p/441176661_ecru,Men,Topwear
teamspirit,Colourblock Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220315/D961/622fa299aeb26921afd7ed3a/-286Wx359H-441136487-jetblack-MODEL.jpg,441136487002,461,549,https://trends.ajio.com/teamspirit-colourblock-crew-neck-t-shirt/p/441136487_jetblack,Men,Topwear
john-players-jeans,Printed Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220408/lTn8/62504dfff997dd03e250256b/-286Wx359H-441131302-yellow-MODEL.jpg,441131302005,650,"1,299",https://trends.ajio.com/john-players-jeans-printed-shirt-with-patch-pocket/p/441131302_yellow,Men,Topwear
netplay,Band-Collar Cotton Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210415/BXqw/60785858f997dd7b64b2ff3e/-286Wx359H-441123866-darkred-MODEL.jpg,441123866001,599,999,https://trends.ajio.com/netplay-band-collar-cotton-shirt-with-patch-pocket/p/441123866_darkred,Men,Topwear
john-players,Slim Fit Polo T-shirt with Colourblock Placement Graphic Print,https://assets.ajio.com/medias/sys_master/root/20211217/i31z/61bca769f997ddf8f1554d30/-286Wx359H-441135980-jetblack-MODEL.jpg,441135980002,525,"1,049",https://trends.ajio.com/john-players-slim-fit-polo-t-shirt-with-colourblock-placement-graphic-print/p/441135980_jetblack,Men,Topwear
lee-cooper,Typographic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220301/IxQJ/621e40b8f997dd03e2f871ec/-286Wx359H-441245218-blue-MODEL.jpg,441245218004,500,999,https://trends.ajio.com/lee-cooper-typographic-print-crew-neck-t-shirt/p/441245218_blue,Men,Topwear
netplay,Fwf20fwnks114 cvc dob struc beige 40,https://assets.ajio.com/medias/sys_master/root/20210205/Qz3T/601c3d79aeb26969815d9ad7/-286Wx359H-441103980-beige-MODEL.jpg,441103980014,559,699,https://trends.ajio.com/netplay-fwf20fwnks114-cvc-dob-struc-beige-40/p/441103980_beige,Men,Topwear
teamspirit,Heathered Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/h21/hc5/13426563809310/-286Wx359H-441000454-ltgreen-MODEL.jpg,441000454017,335,399,https://trends.ajio.com/teamspirit-heathered-crew-neck-t-shirt/p/441000454_ltgreen,Men,Topwear
dnmx,Textured Henley T-shirt,https://assets.ajio.com/medias/sys_master/root/20210528/BQEp/60aff0d0f997ddb312abd995/-286Wx359H-441116602-maroon-MODEL.jpg,441116602026,479,799,https://trends.ajio.com/dnmx-textured-henley-t-shirt/p/441116602_maroon,Men,Topwear
